월(Monthly),구분,시군구,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2009-07,경기,김포시,미분양현황,482,482,482,0,0,0
2009-06,경기,김포시,미분양현황,511,511,511,0,0,0
2009-05,경기,김포시,미분양현황,670,670,670,0,0,0
2009-04,경기,김포시,미분양현황,746,746,746,0,0,0
2009-03,경기,김포시,미분양현황,867,867,867,0,0,0
2009-02,경기,김포시,미분양현황,892,892,892,0,0,0
2009-01,경기,김포시,미분양현황,970,970,970,0,0,0
2008-12,경기,김포시,미분양현황,982,982,982,0,0,0
2008-11,경기,김포시,미분양현황,1063,1063,1063,0,0,0
2008-10,경기,김포시,미분양현황,1168,1168,1168,0,0,0
2008-09,경기,김포시,미분양현황,1176,1176,1176,0,0,0
2008-08,경기,김포시,미분양현황,907,907,907,0,0,0
2008-07,경기,김포시,미분양현황,968,968,968,0,0,0
2008-06,경기,김포시,미분양현황,968,968,968,0,0,0
2008-05,경기,김포시,미분양현황,1028,1028,1028,0,0,0
2008-04,경기,김포시,미분양현황,1231,1231,1231,0,0,0
2008-03,경기,김포시,미분양현황,1536,1536,1536,0,0,0
2008-02,경기,김포시,미분양현황,1623,1623,1623,0,0,0
2008-01,경기,김포시,미분양현황,1765,1765,1765,0,0,0
2007-12,경기,김포시,미분양현황,1798,1798,1798,0,0,0
2007-11,경기,김포시,미분양현황,174,174,174,0,0,0
2007-10,경기,김포시,미분양현황,174,174,174,0,0,0
2007-09,경기,김포시,미분양현황,174,174,174,0,0,0
2007-08,경기,김포시,미분양현황,174,174,174,0,0,0
2007-07,경기,김포시,미분양현황,175,175,175,0,0,0
2007-06,경기,김포시,미분양현황,119,119,119,0,0,0
2007-05,경기,김포시,미분양현황,38,38,38,0,0,0
2007-04,경기,김포시,미분양현황,38,38,38,0,0,0
2007-03,경기,김포시,미분양현황,38,38,38,0,0,0
2007-02,경기,김포시,미분양현황,38,38,38,0,0,0
2007-01,경기,김포시,미분양현황,119,119,119,0,0,0
2009-12,경기,김포시,미분양현황,2351,2351,2351,0,0,0
2009-08,경기,김포시,미분양현황,1513,1513,1513,0,0,0
2009-09,경기,김포시,미분양현황,1233,1233,1233,0,0,0
2009-10,경기,김포시,미분양현황,1120,1120,1120,0,0,0
2009-11,경기,김포시,미분양현황,2112,2112,2112,0,0,0
2010-01,경기,김포시,미분양현황,2518,2518,2518,0,0,0
2010-02,경기,김포시,미분양현황,2118,2118,2118,0,0,0
2010-03,경기,김포시,미분양현황,1588,1588,1588,0,0,0
2010-04,경기,김포시,미분양현황,1479,1479,1479,0,0,0
2010-05,경기,김포시,미분양현황,1402,1402,1402,0,0,0
2010-06,경기,김포시,미분양현황,1402,1402,1402,0,0,0
2010-07,경기,김포시,미분양현황,1391,1391,1391,0,0,0
2010-08,경기,김포시,미분양현황,1390,1390,1390,0,0,0
2010-09,경기,김포시,미분양현황,1380,1380,1380,0,0,0
2010-10,경기,김포시,미분양현황,1433,1433,1433,0,0,0
2010-11,경기,김포시,미분양현황,1412,1412,1412,0,0,0
2010-12,경기,김포시,미분양현황,1411,1411,1411,0,0,0
2011-01,경기,김포시,미분양현황,1378,1378,1378,0,0,0
2011-02,경기,김포시,미분양현황,1003,1003,1003,0,0,0
2011-04,경기,김포시,미분양현황,969,969,969,0,0,0
2011-05,경기,김포시,미분양현황,2219,2219,2219,0,0,0
2011-06,경기,김포시,미분양현황,1848,1848,1848,0,0,0
2011-07,경기,김포시,미분양현황,1598,1598,1598,0,0,0
2011-08,경기,김포시,미분양현황,1523,1523,1523,0,0,0
2015-01,경기,김포시,미분양현황,648,648,648,0,0,0
2011-03,경기,김포시,미분양현황,1013,1013,1013,0,0,0
2011-09,경기,김포시,미분양현황,1552,1552,1552,0,0,0
2011-10,경기,김포시,미분양현황,1547,1547,1547,0,0,0
2011-11,경기,김포시,미분양현황,1463,1463,1463,0,0,0
2011-12,경기,김포시,미분양현황,1048,1048,1048,0,0,0
2012-01,경기,김포시,미분양현황,2597,2597,2597,0,0,0
2012-02,경기,김포시,미분양현황,2419,2419,2419,0,0,0
2012-04,경기,김포시,미분양현황,2883,2883,2883,0,0,0
2012-03,경기,김포시,미분양현황,2293,2293,2293,0,0,0
2012-05,경기,김포시,미분양현황,2702,2702,2702,0,0,0
2012-06,경기,김포시,미분양현황,2606,2606,2606,0,0,0
2012-07,경기,김포시,미분양현황,3327,3327,3327,0,0,0
2012-08,경기,김포시,미분양현황,3327,3327,3327,0,0,0
2012-09,경기,김포시,미분양현황,3327,3327,3327,0,0,0
2012-10,경기,김포시,미분양현황,3797,3797,3797,0,0,0
