"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181201 ~ 20191130"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 김포시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"경기도 김포시 감정동","672","0672","0000","건영","84.97","201901","12","22,500","6","1995","봉화로167번길 35-9"
"경기도 김포시 감정동","672","0672","0000","건영","72.51","201901","31","18,500","8","1995","봉화로167번길 35-9"
"경기도 김포시 감정동","672","0672","0000","건영","72.51","201904","4","18,768","8","1995","봉화로167번길 35-9"
"경기도 김포시 감정동","672","0672","0000","건영","84.97","201905","25","18,250","4","1995","봉화로167번길 35-9"
"경기도 김포시 감정동","672","0672","0000","건영","73.81","201908","2","19,400","11","1995","봉화로167번길 35-9"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201812","10","31,000","6","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201812","11","29,500","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201812","15","28,000","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201812","28","27,700","1","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201812","29","28,000","14","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201901","4","27,500","2","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201901","12","36,500","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201901","15","35,500","15","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201901","31","30,300","10","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201901","31","28,800","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201902","1","29,500","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201902","2","36,000","7","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201902","11","29,500","14","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201902","14","29,500","11","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201902","15","30,300","10","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201902","20","36,500","15","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201902","21","31,000","11","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201903","9","36,400","7","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201903","21","36,400","8","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201903","28","29,300","6","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","153.2305","201903","28","45,000","10","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201904","8","29,200","14","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201904","15","29,600","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201904","15","28,100","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201904","22","28,900","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201904","30","31,000","10","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201905","1","29,100","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201905","4","29,100","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201905","25","30,000","10","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201905","30","30,600","12","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201906","4","28,000","2","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201906","6","29,600","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201906","19","45,000","10","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201906","22","36,000","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201907","6","27,500","3","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201907","8","37,000","4","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201907","11","29,400","9","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201907","16","39,500","13","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201908","7","28,850","5","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","201908","8","29,800","5","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201908","13","29,900","12","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201908","24","28,700","1","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201909","5","31,100","11","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","201909","20","29,200","11","2012","중봉로 1-1"
"경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","118.014","201909","24","38,000","7","2012","중봉로 1-1"
