"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181201 ~ 20191130"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 김포시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","69.9958","23,964","5","201812","21","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","19,480","3","201903","8","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","75.9996","33,188","12","201903","28","분"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9941","19,265","9","201904","17","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","17,080","3","201904","18","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","25,261","2","201907","26","분"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","25,261","2","201908","2","분"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","75.9953","21,641","7","201908","7","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","25,261","2","201908","19","분"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","25,261","2","201909","18","분"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","75","25,059","13","201909","19","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","19,911","10","201910","22","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","59.9919","18,542","14","201910","23","입"
"경기도 김포시 감정동","631","김포 센트럴 헤센 1단지","75.9996","32,188","16","201911","3","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.98","37,000","4","201901","23","입"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.83","36,600","4","201902","18","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.98","39,000","8","201902","18","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.92","36,818","3","201902","21","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.98","37,500","16","201902","22","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.8922","35,560","12","201903","6","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","75.84","38,000","8","201903","7","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.83","35,640","5","201903","29","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","75.95","39,360","10","201904","5","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.8318","31,990","3","201904","5","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","75.84","31,930","12","201904","5","입"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.92","33,090","16","201904","5","입"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.89","32,340","3","201904","5","입"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","75.85","28,540","1","201904","6","분"
